brand,model,mileage,fuel_type,gearbox,year_of_production,photo_link
BMW,BMW Seria 8 M850i xDrive,6 500 km,Benzyna,Automatyczna,2023 ,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImFpbmd2eG1tcG5qMzMtT1RPTU9UT1BMIn0.r8iDhr7tYNeTJZBYP-xpwMNf2Oen24x1zrECrTR_fgI/image
BMW,BMW Seria 5 530d Touring,345 550 km,Diesel,Automatyczna,2006 ,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InVhMWY1OHZ4Nmw5YzEtT1RPTU9UT1BMIn0.E25-5OPGG07mtnAhPG3dpjFQ9aCkNUkzszBCPYNdLZw/image
BMW,BMW Seria 3 320d Blue Performance Luxury Line,125 000 km,Diesel,Automatyczna,2016 ,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImRkaHY4NG00NGlzbi1PVE9NT1RPUEwifQ.YBPnB0NKSWh__Wya1cC2W_O5v_hM5Z9rhpGm5iRW1Yk/image
BMW,BMW Seria 5 520d xDrive Luxury Line,190 000 km,Diesel,Automatyczna,2019 ,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImZyc3ozYW42a2c4czEtT1RPTU9UT1BMIn0.FQN_a9Hgog60vu1xJcX2ZpFfIf_Q-ZxdZOGmdW6MEh0/image
BMW,BMW Seria 5 530d Touring,345 550 km,Diesel,Automatyczna,2006 ,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InVhMWY1OHZ4Nmw5YzEtT1RPTU9UT1BMIn0.E25-5OPGG07mtnAhPG3dpjFQ9aCkNUkzszBCPYNdLZw/image
BMW,BMW Seria 3 320d Blue Performance Luxury Line,125 000 km,Diesel,Automatyczna,2016 ,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImRkaHY4NG00NGlzbi1PVE9NT1RPUEwifQ.YBPnB0NKSWh__Wya1cC2W_O5v_hM5Z9rhpGm5iRW1Yk/image
BMW,BMW Seria 5 520d xDrive Luxury Line,190 000 km,Diesel,Automatyczna,2019 ,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImZyc3ozYW42a2c4czEtT1RPTU9UT1BMIn0.FQN_a9Hgog60vu1xJcX2ZpFfIf_Q-ZxdZOGmdW6MEh0/image
BMW,BMW X5 4.0d xDrive,210 000 km,Diesel,Automatyczna,2011 ,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjU3YnRxNWxldm1qbC1PVE9NT1RPUEwifQ.10HiEHSUzXQfkfl7fImKEKB22dyWB5Z4r8UP713mNe4/image
BMW,BMW X3 xDrive20d,217 536 km,Diesel,Automatyczna,2011 ,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Ind0aGRtb3pjeGd2ZTEtT1RPTU9UT1BMIn0.Vb0F4J1ewJKdJEhiMmiHArPbMqQ9i4LvVCkg-niX288/image
BMW,BMW X1 sDrive18d,168 574 km,Diesel,Automatyczna,2017 ,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImVpZHp4eTU4c24xNDEtT1RPTU9UT1BMIn0.__RYWrbiyX5kWsBa2KWQs0akHqKUDvD4DhOKm2l_xAc/image
BMW,BMW X3 xDrive20d,130 000 km,Diesel,Automatyczna,2018 ,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Im00a2ZlZm9oOG52OTEtT1RPTU9UT1BMIn0.c42qySF9B1csSUQWKuPuxnizYa03Nyqf9vY2DzHC5VU/image
BMW,BMW X3 xDrive35i M Sport sport,110 000 km,Benzyna,Automatyczna,2015 ,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImQwZzYyYnRiZHJmaTEtT1RPTU9UT1BMIn0.VQwxM18uopN6m8BRlQAH7Hf-51dHRckm1DZAziy6-SQ/image
BMW,BMW X5,18 000 km,Hybryda Plug-in,Automatyczna,2023 ,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Im5mOHE3YnlpbHkzYTMtT1RPTU9UT1BMIn0.T-VGhr_vHu6i523o350K9z-G0cxXCKebT3_9pHOBdtI/image
BMW,BMW X6 xDrive30d,101 000 km,Diesel,Automatyczna,2016 ,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InE2NWZpdm5ubjc2azMtT1RPTU9UT1BMIn0.IzlNFjW0P8PMcN-xsKkXOMWEbY4FRciQF8xtVgq6zrY/image
BMW,BMW Seria 4 435i Modern Line sport,190 000 km,Benzyna,Automatyczna,2014 ,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Im5oY203MTZ1NTZndS1PVE9NT1RPUEwifQ.ntfwmUfnoYk7Sio1UlY9yjstYWg4Q9UucdlsuGwa_98/image
BMW,BMW Seria 1 116d EfficientDynamics Sport Line,245 000 km,Diesel,Manualna,2012 ,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjJhZzFjN2Eydms0czEtT1RPTU9UT1BMIn0.39SLnb679Klt5bRjSrd6zEaafVogER45xSXBIQj_5e0/image
BMW,BMW Seria 3 320d xDrive Luxury Line,61 500 km,Diesel,Automatyczna,2021 ,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImM5dGdpeHJlNzBpejEtT1RPTU9UT1BMIn0.6yoGV1vkvibp3UMeORImoUm67vtsAkJdWosspkwtFsk/image
BMW,BMW i3 i3S 120 Ah,41 000 km,Elektryczny,Automatyczna,2020 ,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjNqNmNxcGxkdnNiZDItT1RPTU9UT1BMIn0.oBicSZVqCduTYkyuJ1n-eZ1Zcu1avdt7-FQiI5iwY70/image
BMW,BMW Seria 3,199 900 km,Benzyna,Automatyczna,2013 ,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImNqMXc2cXg5MXd3OTEtT1RPTU9UT1BMIn0.srD6AFgf5nYMu70Rt4LtnqB_KVvO7uoQUtTT7sHWNZc/image
BMW,BMW Seria 3 330i xDrive Sport Line,155 000 km,Benzyna,Automatyczna,2019 ,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Ims3YmtxZm5oMDE5Mi1PVE9NT1RPUEwifQ.JtheippX1Cv9asZ2YLgh3AKGnkkYrxgiKra7j3fZsmk/image
BMW,BMW X5,1 km,Diesel,Automatyczna,2024 ,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InEwZGViaGV4MXBrNTItT1RPTU9UT1BMIn0.rhLyd2yt7-6r518tsRfpadCBudCCsFhzHJW9TJcUvcI/image;s=644x461
